fifth_place_age,fifth_place_boat,fifth_place_height,fifth_place_lane,fifth_place_motor,fifth_place_name,fifth_place_rank,fifth_place_weight,first_place_age,first_place_boat,first_place_height,first_place_lane,first_place_motor,first_place_name,first_place_rank,first_place_weight,fourth_place_age,fourth_place_boat,fourth_place_height,fourth_place_lane,fourth_place_motor,fourth_place_name,fourth_place_rank,fourth_place_weight,link,race_name,race_place,race_title,second_place_age,second_place_boat,second_place_height,second_place_lane,second_place_motor,second_place_name,second_place_rank,second_place_weight,sixth_place_age,sixth_place_boat,sixth_place_height,sixth_place_lane,sixth_place_motor,sixth_place_name,sixth_place_rank,sixth_place_weight,third_place_age,third_place_boat,third_place_height,third_place_lane,third_place_motor,third_place_name,third_place_rank,third_place_weight
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-13-1.html,,,第69回センタープール杯争奪ニッカングローリー賞 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-13-4.html,,,第69回センタープール杯争奪ニッカングローリー賞 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-13-7.html,,,第69回センタープール杯争奪ニッカングローリー賞 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-13-5.html,,,第69回センタープール杯争奪ニッカングローリー賞 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-13-2.html,,,第69回センタープール杯争奪ニッカングローリー賞 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-13-3.html,,,第69回センタープール杯争奪ニッカングローリー賞 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(21),16,,6,50,清水愛海,B2,46,(33),60,164,1,73,古澤光紀,A1,54,(47),15,161,3,53,豊田聡,B1,51,https://race.kyotei.club/info/info-20201212-14-1.html,鳴門,鳴門,アペックス杯競走 [第3日],(41),17,163,2,72,冨成謙児,B1,54,(47),72,159,5,71,菅野はやか,B1,51,(31),80,170,4,84,半田尚也,B1,55
(46),37,164,5,60,梶原正,B1,56,(43),66,165,1,78,松田憲幸,A2,53,(56),30,167,2,18,落合敬一,B1,56,https://race.kyotei.club/info/info-20201212-14-2.html,鳴門,鳴門,アペックス杯競走 [第3日],(34),28,162,6,77,末永由楽,A1,54,(56),56,170,4,17,新井英孝,B1,53,(52),50,164,3,79,烏野賢太,A2,53
(25),83,148,2,54,薮内瑞希,B1,44,(47),25,166,1,74,山本浩次,A2,54,(47),24,158,6,11,鳥飼眞,A1,50,https://race.kyotei.club/info/info-20201212-14-3.html,鳴門,鳴門,アペックス杯競走 [第3日],(45),84,170,3,82,樋口亮,B1,52,(47),69,159,5,12,上田隆章,A2,53,(47),29,157,4,39,水口由紀,B1,48
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-13-6.html,,,第69回センタープール杯争奪ニッカングローリー賞 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
(),,,,,,,,(),,,,,,,,(),,,,,,,,https://race.kyotei.club/info/info-20201212-13-9.html,,,第69回センタープール杯争奪ニッカングローリー賞 [],(),,,,,,,,(),,,,,,,,(),,,,,,,
